id,name,cpf,phone,amount,due_date,cpf_valid,days_overdue
6229,Client 34,30758341229,(21) 91648-2926,400.51,2025-11-15,True,-14
3589,Client 97,20161107320,(21) 98205-6775,691.19,2025-11-25,True,-24
3369,Client 45,42708908863,(21) 98777-4615,491.18,2025-11-11,True,-10
475,Client 55,23284691081,(21) 93332-9727,195.68,2025-11-03,True,-2
1224,Client 59,58986895676,(21) 92327-8024,797.52,2025-11-16,True,-15
3996,Client 74,92338075765,(21) 93960-6889,70.45,2025-11-05,True,-4
4104,Client 40,04389398245,(21) 95449-7605,922.76,2025-11-24,True,-23
9383,Client 45,39784088053,(21) 92913-3840,627.14,2025-11-24,True,-23
567,Client 70,18086899683,(21) 92329-2993,337.91,2025-11-04,True,-3
5794,Client 49,33431244270,(21) 99344-1419,749.66,2025-11-26,True,-25
2014,Client 26,75014461808,(21) 94657-8286,933.34,2025-11-14,True,-13
5993,Client 50,55034534681,(21) 96185-4811,501.08,2025-11-03,True,-2
5311,Client 9,72762333830,(21) 97728-2220,864.55,2025-11-11,True,-10
